strategy,benchmark,markowitz,markowitz_unconstrained,hrp,equal_weight,market_cap,xgboost,rf,lstm
benchmark,0.0000,-1.4295,0.7459,-2.3797,-2.5392,-2.6044,-1.3730,-1.4318,-1.9425
markowitz,1.4295,0.0000,1.8264,-0.7158,-0.3178,-0.6262,0.1748,0.0921,-0.2375
markowitz_unconstrained,-0.7459,-1.8264,0.0000,-1.7108,-1.5887,-1.7842,-1.3599,-1.4002,-1.5497
hrp,2.3797,0.7158,1.7108,0.0000,0.7231,0.1927,0.9096,0.7926,0.4706
equal_weight,2.5392,0.3178,1.5887,-0.7231,0.0000,-0.4382,0.8238,0.6557,0.0472
market_cap,2.6044,0.6262,1.7842,-0.1927,0.4382,0.0000,0.9748,0.8425,0.3762
xgboost,1.3730,-0.1748,1.3599,-0.9096,-0.8238,-0.9748,0.0000,-0.2535,-0.9571
rf,1.4318,-0.0921,1.4002,-0.7926,-0.6557,-0.8425,0.2535,0.0000,-0.9520
lstm,1.9425,0.2375,1.5497,-0.4706,-0.0472,-0.3762,0.9571,0.9520,0.0000
