crisis,da_mean_crisis_xgboost,sharpe_mean_crisis_xgboost,da_mean_crisis_random_forest,sharpe_mean_crisis_random_forest,da_mean_crisis_lstm,sharpe_mean_crisis_lstm
overall,0.579887,0.507480,0.574530,0.464599,0.517748,0.530405
Dotcom Crash,0.510150,-0.083944,0.546241,-0.136508,0.539599,0.039233
GFC (Full),0.690789,0.033344,0.708333,-0.045635,0.483406,0.059379
Early Credit Crunch,0.532456,-0.200611,0.567544,-0.288113,0.520029,-0.158182
Acute GFC Crash,0.667105,0.147854,0.667105,0.060994,0.538816,0.111398
European Debt + US Debt Ceiling,0.798684,0.200259,0.798684,0.184753,0.457676,0.236742
Monetary Policy,0.600000,0.571107,0.600000,0.456443,0.625000,0.492115
COVID-19,,0.116205,,0.087205,,0.180550
Russia/Ukraine,0.500000,0.391923,0.450000,0.503357,0.483333,0.317309
Trade Policy Shock,,0.045573,,0.003636,,-0.272890
