date,da_xgboost,da_random_forest
1998-01-02,0.550000,0.600000
1998-04-01,0.500000,0.550000
1998-07-01,0.600000,0.600000
1998-10-01,0.950000,0.850000
1999-01-04,0.650000,0.650000
1999-04-01,0.650000,0.550000
1999-07-01,0.350000,0.300000
1999-10-01,0.700000,0.550000
2000-01-03,0.550000,0.600000
2000-04-03,0.300000,0.400000
2000-07-03,0.600000,0.500000
2000-10-02,0.350000,0.500000
2001-01-02,0.400000,0.350000
2001-04-02,0.600000,0.700000
2001-07-02,0.400000,0.400000
2001-10-01,0.700000,0.700000
2002-01-02,0.350000,0.350000
2002-04-01,0.150000,0.150000
2002-07-01,0.050000,0.050000
2002-10-01,0.550000,0.550000
2003-01-02,0.200000,0.250000
2003-04-01,0.900000,0.900000
2003-07-01,0.750000,0.700000
2003-10-01,0.700000,0.700000
2004-01-02,0.550000,0.550000
2004-04-01,0.600000,0.550000
2004-07-01,0.550000,0.450000
2004-10-01,0.700000,0.750000
2005-01-03,0.300000,0.300000
2005-04-01,0.600000,0.500000
2005-07-01,0.500000,0.550000
2005-10-03,0.650000,0.600000
2006-01-03,0.500000,0.500000
2006-04-03,0.500000,0.500000
2006-07-03,0.950000,0.850000
2006-10-02,0.650000,0.550000
2007-01-03,0.210526,0.157895
2007-04-02,0.684211,0.631579
2007-07-02,0.631579,0.368421
2007-10-01,0.315789,0.421053
2008-01-02,0.315789,0.368421
2008-04-01,0.263158,0.263158
2008-07-01,0.421053,0.421053
2008-10-01,0.150000,0.150000
2009-01-02,0.210526,0.105263
2009-04-01,0.736842,0.789474
2009-07-01,0.789474,0.789474
2009-10-01,0.842105,0.736842
2010-01-04,0.550000,0.550000
2010-04-01,0.200000,0.150000
2010-07-01,0.650000,0.650000
2010-10-01,0.900000,0.900000
2011-01-03,0.600000,0.600000
2011-04-01,0.450000,0.450000
2011-07-01,0.150000,0.100000
2011-10-03,0.950000,0.700000
2012-01-03,0.842105,0.842105
2012-04-02,0.450000,0.450000
2012-07-02,0.850000,0.700000
2012-10-01,0.400000,0.350000
2013-01-02,0.850000,0.800000
2013-04-01,0.450000,0.500000
2013-07-01,0.350000,0.450000
2013-10-01,1.000000,1.000000
2014-01-02,0.500000,0.550000
2014-04-01,0.550000,0.550000
2014-07-01,0.600000,0.600000
2014-10-01,0.750000,0.700000
2015-01-02,0.315789,0.315789
2015-04-01,0.368421,0.368421
2015-07-01,0.210526,0.210526
2015-10-01,0.842105,0.894737
2016-01-04,0.578947,0.526316
2016-04-01,0.526316,0.368421
2016-07-01,0.500000,0.500000
2016-10-03,0.550000,0.700000
2017-01-03,0.750000,0.750000
2017-04-03,0.650000,0.600000
2017-07-03,0.800000,0.700000
2017-10-02,0.750000,0.550000
2018-01-02,0.450000,0.450000
2018-04-02,0.650000,0.600000
2018-07-02,0.600000,0.450000
2018-10-01,0.400000,0.400000
2019-01-02,0.750000,0.900000
2019-04-01,0.700000,0.650000
2019-07-01,0.500000,0.550000
2019-10-01,1.000000,0.550000
2020-01-02,0.250000,0.200000
2020-04-01,0.700000,0.700000
2020-07-01,0.600000,0.600000
2020-10-01,0.650000,0.650000
2021-01-04,0.700000,0.700000
2021-04-01,0.750000,0.750000
2021-07-01,0.550000,0.550000
2021-10-01,0.500000,0.500000
2022-01-03,0.150000,0.150000
2022-04-01,0.150000,0.200000
2022-07-01,0.150000,0.250000
2022-10-03,0.650000,0.650000
2023-01-03,0.550000,0.550000
2023-04-03,0.800000,0.750000
2023-07-03,0.500000,0.500000
2023-10-02,0.650000,0.750000
2024-01-02,0.600000,0.650000
2024-04-01,0.700000,0.700000
2024-07-01,0.500000,0.550000
2024-10-01,0.800000,0.700000
2025-01-02,0.300000,0.300000
2025-04-01,0.700000,0.700000
2025-07-01,0.750000,0.750000
2025-10-01,0.500000,0.600000
