date,best_learning_rate_xgboost,best_max_depth_xgboost,best_n_estimators_xgboost,best_reg_lambda_xgboost,best_subsample_xgboost,best_colsample_xgboost,best_depth_random_forest,best_n_estimators_random_forest,best_min_leaf_random_forest
1998-01-02,0.100000,1,100,1,0.700000,1.000000,5,200,2
1999-01-04,0.050000,1,100,1,0.700000,0.700000,4,100,3
2000-01-03,0.050000,4,100,5,0.700000,0.700000,5,200,3
2001-01-02,0.050000,1,100,5,0.700000,0.700000,3,135,3
2002-01-02,0.050000,1,100,3,1.000000,1.000000,1,200,2
2003-01-02,0.050000,1,100,5,1.000000,1.000000,1,135,2
2004-01-02,0.050000,1,100,1,1.000000,1.000000,1,100,3
2005-01-03,0.050000,1,100,3,1.000000,1.000000,1,200,5
2006-01-03,0.050000,1,100,5,1.000000,1.000000,1,135,3
2007-01-03,0.050000,1,100,1,0.700000,0.700000,2,100,5
2008-01-02,0.050000,2,100,1,1.000000,1.000000,3,100,4
2009-01-02,0.050000,1,100,1,1.000000,0.700000,3,100,4
2010-01-04,0.050000,1,100,5,1.000000,1.000000,1,200,3
2011-01-03,0.050000,4,100,5,1.000000,1.000000,1,100,2
2012-01-03,0.050000,1,100,5,1.000000,1.000000,1,100,2
2013-01-02,0.050000,1,100,1,0.700000,0.700000,1,200,5
2014-01-02,0.050000,1,100,5,1.000000,1.000000,1,200,2
2015-01-02,0.050000,1,100,5,1.000000,1.000000,1,100,2
2016-01-04,0.050000,1,100,5,1.000000,0.700000,2,200,4
2017-01-03,0.050000,2,100,5,1.000000,1.000000,5,100,2
2018-01-02,0.050000,1,100,3,1.000000,1.000000,5,100,2
2019-01-02,0.050000,1,100,3,1.000000,1.000000,1,200,2
2020-01-02,0.050000,1,100,5,1.000000,0.700000,1,100,3
2021-01-04,0.050000,3,100,5,1.000000,1.000000,5,100,3
2022-01-03,0.050000,1,100,5,1.000000,1.000000,5,135,5
2023-01-03,0.050000,1,100,3,1.000000,1.000000,1,100,2
2024-01-02,0.050000,1,100,5,1.000000,0.700000,1,200,3
2025-01-02,0.050000,2,100,3,1.000000,0.700000,5,100,5
