crisis,xgboost,random_forest,lstm,equal_weight,hrp,market_cap,markowitz,markowitz_unc
ecc_sharpe,-0.257995,-0.273582,-0.266386,-0.285868,-0.317565,-0.298275,-0.244692,0.096056
ecc_sortino,-0.335104,-0.358498,-0.356753,-0.368507,-0.410256,-0.385843,-0.323402,0.125460
ecc_ulcer,0.307080,0.323731,0.276569,0.290592,0.290523,0.277943,0.238350,0.308500
ecc_max_dd,-0.567236,-0.580333,-0.525413,-0.540589,-0.541213,-0.507725,-0.453714,-0.543946
ecc_cum_ret,-0.212915,-0.225560,-0.183265,-0.207627,-0.228227,-0.203596,-0.155225,0.084801
ecc_calmar,-0.158601,-0.164990,-0.145822,-0.161974,-0.179184,-0.168865,-0.141635,0.059875
agfc_sharpe,0.021635,0.072554,0.011257,-0.031758,-0.077075,-0.048796,-0.013974,0.570807
agfc_sortino,0.026273,0.088150,0.014517,-0.038800,-0.094684,-0.060399,-0.017879,0.705543
agfc_ulcer,0.207785,0.196433,0.176384,0.202414,0.201823,0.189868,0.160793,0.167460
agfc_max_dd,-0.443872,-0.434258,-0.403506,-0.424565,-0.425346,-0.391552,-0.346219,-0.357019
agfc_cum_ret,0.014083,0.047808,0.006151,-0.018209,-0.043733,-0.026278,-0.006905,0.400126
agfc_calmar,0.019690,0.067896,0.009474,-0.026779,-0.064515,-0.041968,-0.012426,0.652511
eu_debt_sharpe,0.461325,0.230139,0.312032,0.413649,0.830048,0.535872,0.899604,1.537891
eu_debt_sortino,0.608213,0.295832,0.416884,0.529738,1.068019,0.688030,1.157020,2.251354
eu_debt_ulcer,0.063198,0.088353,0.068894,0.064606,0.043380,0.060806,0.039586,0.046326
eu_debt_max_dd,-0.166845,-0.219068,-0.169054,-0.160395,-0.124123,-0.150163,-0.119573,-0.135279
eu_debt_cum_ret,0.210962,0.104493,0.128313,0.171227,0.303560,0.215363,0.335142,0.914105
eu_debt_calmar,0.626755,0.241917,0.382931,0.533609,1.189787,0.710263,1.355189,2.965867
